# Constructed from biom file																																													
#OTU ID	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d16_1	d16_2	d16_3	d16_4	d16_5	d16_6	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d4_1	d4_2	d4_3	d4_4	d4_5	d4_6	d8_1	d8_2	d8_3	d8_4	d8_5	d8_6	donor	food1	food2	m1	m2	m3	m4	m5	m6
c718b6bbf7640a43a4d0e6242895ddf3	9	213	41	0	159	20	21	63	90	0	29	18	10	120	7	0	12	53	35	32	104	0	43	10	8	380	49	0	28	0	90	349	63	0	75	30	0	4	0	0	0	1	0	1	0
6f74b65218fd5bd94ca7d4027c854011	0	0	0	20	1232	0	0	0	0	6	404	0	122	0	8	0	45	39	0	0	0	3	629	0	0	0	0	18	72	0	0	0	301	4	153	0	0	0	0	0	0	0	0	4	0
091f341a42630df6fc7267a855a90a72	0	0	107	0	121	0	0	0	199	0	341	0	10	0	86	0	436	0	58	1	48	0	234	0	0	0	174	0	457	0	0	0	108	0	147	0	649	0	0	6	6	0	0	0	0
167c8148d11e5295c4e985773f050eab	0	6	0	141	20	0	0	52	0	154	168	0	0	35	35	12	401	75	0	222	0	143	63	0	0	6	0	77	137	0	0	513	0	168	40	0	288	0	0	4	4	2	0	0	0
a0484711bb16026e063f38e8e6d96d78	0	65	6	92	0	0	0	401	8	32	73	0	66	101	4	0	64	0	0	876	8	18	299	0	0	83	21	13	205	0	0	0	34	0	0	0	9	0	0	2	2	0	0	0	0
17506094317c329e2470a9d0c7268d54	28	5	58	13	47	4	80	31	133	0	35	29	207	74	112	0	12	187	56	71	157	0	152	39	100	63	294	15	309	0	19	30	188	34	163	2	0	0	0	0	0	0	0	0	0
d6b4c31c52a781e11a0081bedddfacf4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	92	813	199	270	0
f5030e94fb66e0551dce35c4fb66e4ae	0	0	53	0	0	382	0	0	83	0	0	810	0	0	0	0	0	192	0	0	0	0	0	168	0	108	0	0	0	104	0	0	0	0	0	60	0	0	0	0	0	0	0	13	0
c4dda328c4498d8fb88cea6cf26f1f97	1161	0	0	0	0	0	715	0	0	0	66	0	43	0	0	0	0	0	43	0	0	0	75	0	158	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a64ff0e9bdad060b2caa695ce051ceff	0	0	160	0	145	74	0	0	35	0	109	123	0	0	0	0	0	0	0	0	23	0	36	455	54	0	0	0	123	39	0	0	28	0	173	526	0	0	0	0	0	0	0	0	0
2acf4188a87971df80f6d5e83ec9c623	25	0	0	0	0	8	90	255	22	0	183	0	62	99	13	0	20	11	84	187	51	0	85	19	51	0	293	0	100	7	268	48	106	0	30	0	0	0	0	0	0	0	0	0	0
d684a4b43c0acd16d3ad8e02a3c466e7	0	0	0	34	1611	0	0	0	0	75	347	0	0	0	0	0	139	0	0	0	0	32	90	0	0	0	0	0	51	0	0	0	0	10	0	0	0	0	0	0	0	0	0	9	0
6c13c019920dc653b1a93c8170a3cd43	26	0	44	36	0	0	74	6	101	49	206	11	21	18	20	0	31	100	140	26	306	15	180	12	159	11	173	6	354	8	11	52	26	19	31	0	7	0	0	0	0	0	0	2	7
748a6ff9996484ef9209b380b5e36e75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	652	652	126	81	87	500
fd1270828e794b157126e80d94abb1e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	544	544	71	103	119	564
aee8b9c2b7ef68ce4923366a1734f5be	0	0	0	0	20	0	0	3	0	0	93	0	269	107	98	0	18	23	0	14	0	0	498	0	0	0	0	0	280	0	3	720	280	0	126	0	0	0	0	0	0	11	0	0	0
6a3b432b3bdc38fb61db72f916f78ccb	113	0	393	0	0	86	34	0	258	0	0	53	15	0	53	0	0	0	53	0	414	0	0	47	59	0	109	0	0	66	113	0	68	0	0	86	0	0	0	0	0	0	0	0	0
34e2c1b9a8850077b0053d65235a9e51	0	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	3
5ef7a5619952b300216c500eb57a0e38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	241	422	421	2
15f06c92e389db4ba8cffacc8a2ca0db	0	0	7	0	1478	0	0	0	9	0	22	0	0	132	237	0	0	22	0	0	33	0	30	0	0	0	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
c45a9a3e2dc4d529197e8e11d48faed4	97	0	351	0	0	115	46	0	221	0	0	80	0	0	42	0	0	0	42	0	395	0	0	47	41	0	86	0	0	78	98	0	0	0	0	87	0	0	0	0	0	0	0	0	0
d90c79092d27e19d5471e3d1b43f8e4b	67	0	58	8	13	32	48	0	79	16	122	127	107	31	5	0	59	45	14	0	180	7	122	109	32	0	101	0	181	64	154	71	65	0	54	0	5	0	0	8	8	0	0	6	7
aec6e95c6cdf9262aa826677110b4648	180	6	0	3	338	94	41	76	0	0	35	26	32	39	0	0	45	26	66	382	0	0	22	54	19	0	0	0	14	20	51	156	7	0	12	53	0	0	0	0	0	0	0	0	0
3e745ad430936fa9abc2d24ea5bc5b1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	43	220	331	473	15
bae3b53ef4f737d2604605b4bf1a5c02	0	0	54	40	0	0	0	0	0	1061	0	0	11	0	2	0	42	0	0	0	0	691	0	0	0	17	0	27	0	27	80	0	0	16	4	0	6	0	0	0	0	0	0	0	0
b97c18cb7620e12840044320eb69cefc	17	0	0	13	23	0	22	1	39	7	0	0	312	17	109	0	130	33	34	0	145	0	16	10	53	14	649	0	175	0	0	17	111	20	188	2	22	0	0	0	0	0	0	0	0
1ec372766d4727c7256bff5455325f6e	7	99	58	0	461	2	13	61	26	0	47	1	52	8	13	0	48	23	30	46	112	0	28	18	18	3	21	0	86	13	101	29	183	0	85	0	0	0	0	0	0	0	0	0	0
